X,Y,xcoord,ycoord,imb_nbr_logloc,imb_type,addr_numero,addr_nom_voie
-1.54102677811655,47.2271800965484,-171546.316238734,5979234.80347208,1,PA,11,Avenue de la Pajaudière,
-1.54920177591928,47.2259619424274,-172456.352831369,5979035.12138661,1,PA,47,Avenue Chanzy,
-1.5427988450021,47.2280935015423,-171743.581822084,5979384.53352528,23,IM,11,Rue Saint Donatien,
-1.55797218070454,47.218497545162,-173432.669826115,5977811.6437228,9,IM,8,Rue Didienne,
-1.56073851881848,47.2273341700657,-173740.617176322,5979260.05981604,8,IM,120,Rue Paul Bellamy,
-1.55968727583092,47.2261536749893,-173623.593342247,5979066.55023989,12,IM,90,Rue Paul Bellamy,
-1.57089211242414,47.2314877523066,-174870.910046225,5979940.95921115,1,PA,8,Rue de la Gourmette,
-1.56077020204771,47.2264987847749,-173744.144137265,5979123.12101552,4,IM,99,Rue Paul Bellamy,
-1.54713126715841,47.2138333958756,-172225.864850426,5977047.23775429,36,IM,6,Rue Emile Masson,
-1.56887551695508,47.2152812505346,-174646.423665473,5977284.51900555,12,IM,14,Rue Colbert,
-1.57301978630199,47.2300285359279,-175107.761618882,5979701.74285603,21,IM,5,Boulevard Jean XXIII,
-1.54443187976209,47.2254548980678,-171925.370420014,5978952.00708621,8,IM,35,Rue Dufour,
-1.56061994413085,47.2211707274726,-173727.417502473,5978249.78104945,9,IM,17,Rue Auguste Brizeux,
-1.53914766083154,47.229160989753,-171337.133859425,5979559.52496325,1,PA,6,Avenue de l’Eperonnière,
-1.57288935578456,47.2206461712809,-175093.242160097,5978163.80400869,1,PA,15,Rue Germain Boffrand,
-1.55048206031936,47.2151716053805,-172598.873438857,5977266.54961375,13,IM,2,Rue de Strasbourg,
-1.54091228126193,47.2250519309225,-171533.57050718,5978885.95360538,1,PA,13,Rue Gaston Turpin,
-1.54415625860892,47.2280312205054,-171894.688413591,5979374.32401483,5,IM,15,Rue Saint Rogatien,
-1.56615994340757,47.2161098197178,-174344.127400953,5977420.31174642,43,IM,15,Boulevard Gabriel Guist’Hau,
-1.54383390174374,47.2253836818913,-171858.803811506,5978940.33345196,4,IM,121,Rue Général Buat,
-1.57339652134261,47.232466490009,-175149.699571768,5980101.41207772,1,PA,33,Rue de la Martinière,
-1.55840950694354,47.2202252533602,-173481.352760352,5978094.81434635,10,IM,2,Place Saint Similien,
-1.56994494607235,47.2223225110526,-174765.471970247,5978438.56637111,1,PA,11,Rue Gabriel Luneau,
-1.56605533367794,47.2183007551017,-174332.482299118,5977779.39050271,2,PA,21,rue deshoulières,
-1.54204997821956,47.2246961993331,-171660.218353181,5978827.6432894,1,PA,32,Rue Gaston Turpin,
-1.53977963952979,47.2196903081356,-171407.485406306,5978007.13607008,4,IM,135,Rue d’Allonville,
-1.57361089447077,47.2212894955143,-175173.563479233,5978269.24776602,1,PA,15,Rue Octave Feuillet,
-1.5695146173698,47.2285617532874,-174717.567998206,5979461.29276458,1,PA,18,Rue Félix Faure,
-1.54234524371918,47.2253068294026,-171693.087158247,5978927.73594062,1,PA,11,Avenue Théodore Botrel,
-1.57432889249937,47.2213467980835,-175253.490654168,5978278.63997886,30,IM,8,Rue Francis Merlant,
-1.5382673047362,47.2303362160236,-171239.133067175,5979752.18178513,1,PA,13,Avenue de l’Eperonnière,
-1.5707406034346,47.2317687741941,-174854.044142659,5979987.02923635,1,PA,24,Rue du Grand Clos,
-1.54184897971445,47.2319542112822,-171637.843301941,5980017.42946243,10,IM,45,Rue Morand,
-1.54805186511426,47.2212322824309,-172328.345346097,5978259.87023055,1,PA,44,Rue Maréchal Joffre,
-1.56507045799738,47.2299905146163,-174222.846439864,5979695.50992771,3,IM,16,Rue Costes et le Brix,
-1.57221418031817,47.2197259690918,-175018.081970983,5978012.98092354,2,PA,71,Rue de la Bastille,
